e Babymakers,Jay Chandrasekhar
Q3401252,Prairie Schooners,Sam Nelson
Q340126,Carmen fra i rossi,Édgar Neville
Q340127,Ace Ventura: When Nature Calls,Steve Oedekerk
Q340130,Whose Life Is It Anyway?,John Badham
Q3401319,Prank,Danielle Harris
Q340138,Ace Ventura: Pet Detective,Tom Shadyac
Q3401480,Prayer of the Rollerboys,Rick King
Q340157,Hapkido,Huang Feng
Q3401590,Prem Shakti,Shibu Mitra
Q3401652,Premier rendez-vous,Henri Decoin
Q3401660,Change of Heart,John G. Blystone
Q3401717,Moving,Philippe Gagnon
Q3401731,First of May,Luis Saslavsky
Q340183,Tempest in the Flesh,Ralph Habib
Q3401848,Premium,Pete Chatmon
Q340187,The Crusades,Cecil B. DeMille
Q3402011,Calendar Girl,John Whitesell
Q3402276,FAQs,Everett Lewis
Q3402281,Take Your Ten Thousand Francs and Get Out,Mahmoud Zemmouri
Q3402286,On the Road,Jean Boyer
Q3402424,Presidential Reunion,Ron Howard
Q3402574,The Rebirth,Masahiro Kobayashi
Q340281,The Fury of Achilles,Marino Girolami
Q3402875,Before Flying Back to the Earth,Arūnas Matelis
Q3402990,Very Annie Mary,Sara Sugarman
Q340300,Achilles and the Tortoise,Takeshi Kitano
Q3403168,Primate,Frederick Wiseman
Q3403381,The Midnight Prince,René Guissart
Q3403382,Prince des Six Jours,Robert Vernay
Q3403447,Princess Fragrance,Ann Hui
Q3403453,Princess Raccoon,Seijun Suzuki
Q3403458,Her Grace Commands,Hanns Schwarz
Q3403483,Princess Tam Tam,Edmond T. Gréville
Q3403501,Princesses,Sylvie Verheyde
Q3403695,Springtime of Love,Léonce Perret
Q3403703,Springtime in a Small Town,Tian Zhuangzhuang
Q3403719,Printemps à Paris,Jean-Claude Roy
Q3403903,Final Take,Yōji Yamada
Q3404002,Prison sans barreaux,Léonide Moguy
Q3404003,Prisoners,Denis Villeneuve
Q3404021,Women's Prison,Maurice Cloche
Q3404244,Private Romeo,Alan Brown
Q3405395,Bal-Can-Can,Darko Mitrevski
Q3406376,Kings,Tommy Collins
Q3406803,The Grave Robbers,José Díaz Morales
Q3406868,Profil bas,Claude Zidi
Q3407141,Project X,Jonathan Kaplan
Q3407328,We Are from Jazz,Karen Shakhnazarov
Q3407396,A Promise,Yoshishige Yoshida
Q3407419,Promise Her Anything,Arthur Hiller
Q3407424,Promised Land,Michael Hoffman
Q3407439,Promotion canapé,Didier Kaminka
Q3407454,Prometheus In the Second Person,Kostas Ferris
Q3407500,Proof,Jocelyn Moorhouse
Q3407576,Strictly Dishonorable,Melvin Frank
Q3407576,Strictly Dishonorable,Norman Panama
Q340814,Eight Men Out,John Sayles
Q3408194,Protea,Victorin-Hippolyte Jasset
Q3408562,Prudence on Broadway,Frank Borzage
Q3408599,Prune des bois,Marc Lobet
Q3408633,The Adventures of Mark Twain,Irving Rapper
Q3408714,Kanoon Apna Apna,B. Gopal
Q3408957,Pre-History of Cinema,Emile Degelin
Q3409018,Premeditation,André Berthomieu
Q340911,Rollercoaster,James Goldstone
Q3409167,President,Lionel Delplanque
Q3409260,Guilty,Vincent Garenq
Q3409261,Presumed Dangerous,Georges Lautner
Q3409692,"Goodbye, 20th Century!",Darko Mitrevski
Q3409692,"Goodbye, 20th Century!",Aleksandar Popovski
Q3409710,Gypsy Magic,Stole Popov
Q3410007,Psy,Philippe de Broca
Q3410141,The Vagrant,Chris Walas
Q3410416,Public Housing,Frederick Wiseman
Q3410417,Public Hero No. 1,J. Walter Ruben
Q3410456,Publicity Pays,Leo McCarey
Q3410578,Puerto Escondido,Gabriele Salvatores
Q3410591,Puerto Vallarta Squeeze,Arthur Allan Seidelman
Q3410628,Since we were born,Andrea Santana
Q3410628,Since we were born,Jean-Pierre Duret
Q3410641,Power of the Speech,Jean-Luc Godard
Q341067,Achtung! Feind hört mit!,Arthur Maria Rabenalt
Q3410840,Hitokiri,Hideo Gosha
Q341086,"Ready, Steady, Charlie!",Mike Eschmann
Q3410898,"Puppe, Icke & der Dicke",Felix Stienz
Q3410950,Heroic Purgatory,Yoshishige Yoshida
Q3410974,Purple People Eater,Linda Shayne
Q3410981,Purple Storm,Teddy Chan
Q3411010,Pusher,Luis Prieto
Q3411142,Naukri,Hrishikesh Mukherjee
Q3411155,Karma,Subhash Ghai
Q3411165,Pyaar Tune Kya Kiya,Rajat Mukherjee
Q3411174,Shaadi Se Pehle,Satish Kaushik
Q3411185,Mirch Masala,Ketan Mehta
Q3411193,Mera Desh Mera Dharam,Dara Singh
Q3411300,Satyam Shivam Sundaram,Raj Kapoor
Q3411340,Aamne Samne,Suraj Parkash
Q3411563,Unakkum Enakkum,M. Raja
Q3411573,Vettaiyaadu Vilaiyaadu,Gautham Menon
Q3411584,Pithamagan,Bala
Q3411591,Kaakha Kaakha,Gautham Menon
Q3411599,Padayappa,K. S. Ravikumar
Q3411602,Father and Sons,Michel Boujenah
Q3411607,Fathers and Sons,Adolf Bergunker
Q3411607,Fathers and Sons,Natalya Rashevskaya
Q3411622,Sin,Michael Stevens
Q3411629,Lovers and Other Relatives,Salvatore Samperi
Q3411666,Pédale dure,Gabriel Aghion
Q3411738,Peking Express,William Dieterle
Q3411859,Lesa Lesa,Priyadarshan
Q3412090,Pétrus,Marc Allégret
Q3412379,Q,Laurent Bouhnik
Q3412381,Q,Jean-François Davy
Q3412523,"What Did You Do in the War, Thanasi?",Dinos Katsouridis
Q3412540,Qu'est-ce qui fait courir David ?,Élie Chouraqui
Q3412543,Qu'est-ce qui fait craquer les filles...,Michel Vocoret
Q3412553,Silent Voices,Léa Fehner
Q3412597,Quadrille,Sacha Guitry
Q3412599,Quadrille,Valérie Lemercier
Q3412728,Quai des illusions,Émile Couzinet
Q3412839,Quality Street,Sidney Franklin
Q3412861,When Joseph Returns...,Zsolt Kézdi-Kovács
Q3412868,Quand j'avais cinq ans je m'ai tué,Jean-Claude Sussfeld
Q3412875,Quand je serai petit,Jean-Paul Rouve
Q3412877,The Long Winter,Michel Brault
Q3412894,Senilità,Mauro Bolognini
Q3412910,Hot and Naked,Guy Maria
Q3412915,Apache Drums,Hugo Fregonese
Q3412932,When Do You Commit Suicide?,Émile Couzinet
Q3412936,When You Read This Letter,Jean-Pierre Melville
Q3413146,Quartier V.I.P.,Laurent Firode
Q3413316,Taiyō no nai Machi,Satsuo Yamamoto
Q3413385,Quasimodo d'El Paris,Patrick Timsit
Q3413447,Quatre-vingt-treize,Albert Capellani
Q3413468,Four Adventures of Reinette and Mirabelle,Éric Rohmer
Q3413481,The Four Companions,Carl Froelich
Q3413482,Ladies in Love,Edward H. Griffith
Q3413489,Quatre jours à Paris,André Berthomieu
Q3413526,Four Stars,Christian Vincent
Q3413554,Achanak,Gulzar
Q3413565,Karz,Subhash Ghai
Q3413574,Alaap,Hrishikesh Mukherjee
Q3413599,Bawarchi,Hrishikesh Mukherjee
Q3413628,Dil Hai Ke Manta Nahin,Mahesh Bhatt
Q3413642,Rudaali,Kalpana Lajmi
Q3413655,Ram Lakhan,Subhash Ghai
Q3413666,Jhankaar Beats,Sujoy Ghosh
Q3413682,Thakshak,Govind Nihalani
Q3413700,Aitraaz,Abbas Alibhai Burmawalla
Q3413700,Aitraaz,Mastan Alibhai Burmawalla
Q3413903,May God Bless America,Robert Morin
Q3413919,Family Pack,Chris Vander Stappen
Q3413925,Que la lumière soit,Arthur Joffé
Q3414014,Queen Size Bed,Emilio Martínez-Lázaro
Q3414023,Queenie in Love,Amos Kollek
Q3414081,"Boy, Did I Get a Wrong Number!",George Marshall
Q3414093,Quelle drôle de gosse!,Léo Joannon
Q3414123,Blame It on Mum,Cécile Telerman
Q3414137,A Few Hours of Spring,Stéphane Brizé
Q3414141,Chand Rooz Ba'd...,Niki Karimi
Q3414225,Unearthly Stranger,John Krish
Q3414250,Broken Journey,Ken Annakin
Q3414263,Invisible Adversaries,VALIE EXPORT
Q3414263,Invisible Adversaries,Valie Export
Q3414281,Awaydays,Pat Holden
Q3414304,Baptism of Blood,Helvécio Ratton
Q3414343,Black and White,Craig Lahiff
Q3414366,Firepower,Michael Winner
Q3414373,Who Killed Bambi?,Gilles Marchand
Q3414426,Brothers of the Head,Keith Fulton
Q3414426,Brothers of the Head,Louis Pepe
Q3414436,"Who Are You, Polly Maggoo?",William Klein
Q3414447,Quick Gun Murugun,Shashanka Ghosh
Q3414463,"Whoever Dies, Dies in Pain",Robert Morin
Q3414468,Bruce Lee: A Warrior's Journey,John Little
Q3414488,Twice Upon a Time,Emeric Pressburger
Q3414528,Where Is Parsifal?,Henri Helman
Q3414563,Cairo Road,David MacDonald
Q3414572,Carioca tigre,Giuliano Carnimeo
Q3414576,Carmen,Luis César Amadori
Q3414593,Cats,David Mallet
Q3414601,Cinderella,Beeban Kidron
Q3414701,Smashing Time,Desmond Davis
Q3414745,"Goodbye, Norma Jean",Larry Buchanan
Q3414756,Wuthering Heights,Robert Fuest
Q3414757,Quo vadis?,Ferdinand Zecca
Q3414763,Quoi ? L'éternité,Étienne Faure
Q3414778,Cirkus Columbia,Danis Tanović
Q3414796,Cockneys vs Zombies,Matthias Hoene
Q3414809,Québec-Montréal,Ricardo Trogi
Q3414816,Like Two Crocodiles,Giacomo Campiotti
Q3414828,Québec : Duplessis and after...,Denys Arcand
Q3414832,Just like a Woman,Christopher Monger
Q3414863,Pure as a Lily,Franco Rossi
Q3414882,Copacabana Palace,Stefano Vanzina
Q3414922,R.A.S.,Yves Boisset
Q3414941,R. P. M.,Stanley Kramer
Q3415040,Cordula,Gustav Ucicky
Q3415054,Never Take Sweets from a Stranger,Cyril Frankel
Q3415074,Things to Do Before You're 30,Simon Shore
Q3415117,Checkpoint,Ralph Thomas
Q3415133,Grievous Bodily Harm,Mark Joffe
Q3415168,Foolish Heart,Héctor Babenco
Q3415193,R.I.F.,Franck Mancuso
Q3415210,Of Love and Shadows,Betty Kaplan
Q3415232,Dagli Appennini alle Ande,Folco Quilici
Q3415280,Dangerous Moonlight,Brian Desmond Hurst
Q3415296,RPM,Ian Sharp
Q3415449,Deep Water,Louise Osmond
Q3415465,Terror,Norman J. Warren
Q3415483,Der Himmel auf Erden,E. W. Emo
Q3415500,The Prince of Arcadia,Karl Hartl
Q3415515,Battletruck,Harley Cokeliss
Q3415515,Warlords of the 21st Century,Harley Cokeliss
Q3415526,Storm in a Water Glass,Georg Jacoby
Q3415551,Ten Little Indians,Alan Birkinshaw
Q3415590,Adventures of Don Quixote,Georg Wilhelm Pabst
Q3415590,Don Quixote,Georg Wilhelm Pabst
Q3415599,Don Quichotte,Jean de Limur
Q3415599,Don Quichotte,John Farrow
Q3415599,Don Quichotte,Georg Wilhelm Pabst
Q3415613,Where's Jack?,James Clavell
Q3415674,Drift,Morgan O'Neill
Q3415680,"Duch, Master of the Forges of Hell",Rithy Panh
Q3415693,He Died with a Felafel in His Hand,Richard Lowenstein
Q3415699,Voices,Kevin Billington
Q3415783,The Lighthouse,Eduardo Mignogna
Q3415825,Raajneeti,Prakash Jha
Q3415840,Raaz 3D,Vikram Bhatt
Q3415869,"Same Love, Same Rain",Juan J. Campanella
Q3415886,Eliza Comes to Stay,Henry Edwards
Q3415903,Immigrants,Aldo Fabrizi
Q3415929,In the Future,Mauro Andrizzi
Q3415951,Raboliot,Jacques Daroy
Q3415982,Epsilon,Rolf de Heer
Q3416007,The Homosexual Century,Lionel Soukaz
Q3416062,Expresso Bongo,Val Guest
Q3416210,Rachida,Yamina Bachir
Q3416264,Beware of Pity,Maurice Elvey
Q3416283,Bank Holiday,Carol Reed
Q3416305,Sons and Daughters,Marco Bechis
Q3416313,Rackety Rax,Alfred L. Werker
Q3416314,The Garment Jungle,Vincent Sherman
Q3416314,The Garment Jungle,Robert Aldrich
Q3416315,Fragment of Fear,Richard C. Sarafian
Q3416325,Tell Me a Story,Guillaume Malandrin
Q3416348,Galileo Galilei,Liliana Cavani
Q3416416,Ghost Son,Lamberto Bava
Q3416427,Let's Kill Uncle,William Castle
Q3416446,The Young Lovers,Anthony Asquith
Q3416461,Blood Oath,Stephen Wallace
Q3416473,Hands of the Ripper,Peter Sasdy
Q3416532,Radio,Maurice Cloche
Q3416623,Goodbye Mama,Michelle Bonev
Q3416645,"Goya, historia de una soledad",Nino Quevedo
Q3416779,Radio On,Chris Petit
Q3416832,Half Life: A Parable for the Nuclear Age,Dennis O'Rourke
Q3417027,Radiostars,Romain Levy
Q3417209,Gautam Govinda,Subhash Ghai
Q3417213,Upkar,Manoj Kumar
Q3417218,Charitraheen,Shakti Samanta
Q3417220,Utsav,Girish Karnad
Q3417223,Des Pardes,Dev Anand
Q3417226,Zanjeer,Prakash Mehra
Q3417232,Tohfa,K. Raghavendra Rao
Q3417235,Trishna,Anil Ganguly
Q3417248,Saaransh,Mahesh Bhatt
Q3417254,Besharam,Deven Verma
Q3417268,Gaban,Hrishikesh Mukherjee
Q3417281,Pyaar Ke Side Effects,Saket Chaudhary
Q3417297,Bhabhi,Krishnan-Panju
Q3417302,Oonche Log,Phani Majumdar
Q3417312,Joshila,Yash Chopra
Q3417318,Saudagar,Sudhendu Roy
Q3417323,Daag,Yash Chopra
Q3417329,Golmaal: Fun Unlimited,Rohit Shetty
Q3417337,Namak Haraam,Hrishikesh Mukherjee
Q3417341,Taxi No. 9211,Milan Luthria
Q3417405,Raffles,Sam Wood
Q3417444,Hero,Tony Maylam
Q3417460,Rage,George C. Scott
Q3417482,Raggedy Ann & Andy: A Musical Adventure,Richard Williams
Q3417503,Homesdale,Peter Weir
Q3417586,Humanitaire!,Adama Roamba
Q3417671,The Loves of Madame Dubarry,Marcel Varnel
Q34177468,Train Without Eyes,Alberto Cavalcanti
Q3417758,Blue Blood,Andrew Sinclair
Q3417761,Rain Fall,Max Mannix
Q3417793,The Games,Michael Winner
Q3417817,The Gang's All Here,Thornton Freeland
Q3417830,The Old Dark House,William Castle
Q3417833,Rainy Dog,Takashi Miike
Q3417837,The Boy Friend,Ken Russell
Q3417962,Rajapattai,Suseenthiran
Q3417990,The Tales of Beatrix Potter,Reginald Mills
Q3417998,Sidewalks of London,Tim Whelan
Q3418011,Rajnigandha,Basu Chatterjee
Q3418062,Thimiru,Tarun Gopi
Q3418065,Arunachalam,Sundar C.
Q3418068,Anbe Aaruyire,S. J. Surya
Q3418078,Minor Mappillai,V. C. Guhanathan
Q3418084,Priyasakhi,K. S. Adhiyaman
Q3418088,Arinthum Ariyamalum,Vishnuvardhan
Q3418093,Kovai Brothers,Sakthi Chidambaram
Q3418099,Gokulathil Seethai,Agathiyan
Q3418103,Kuruthipunal,P. C. Sreeram
Q3418108,Jodi,Praveen Gandhi
Q3418118,Vaanmathi,Agathiyan
Q3418126,Anbe Sivam,Sundar C.
Q3418130,Sangamam,Suresh Krissna
Q3418137,Kalidas,H. M. Reddy
Q3418150,Mayabazar,Kadiri Venkata Reddy
Q3418155,Nilave Mugam Kaattu,Kalanjiyam
Q3418158,The Sailor Who Fell from Grace with the Sea,Lewis John Carlino
Q3418160,Uyirodu Uyiraga,Sushma Ahuja
Q3418172,Alli Arjuna,Saran
Q3418184,Priyamaana Thozhi,Vikraman
Q3418193,Kaadhal Mannan,Saran
Q3418196,Unnai Ninaithu,Vikraman
Q3418210,Ullaasam,J.D. & Jerry
Q3418215,Aval Varuvala,Raj Kapoor
Q3418222,Emmtan-Magan,Thirumurugan
Q3418428,Mr. Romeo,K. S. Ravi
Q3418513,The Affairs of Maupassant,Henry Koster
Q3418551,Ramona,Henry King
Q3418567,Rampage: The Hillside Strangler Murders,Chris Fisher
Q3418649,Ramuntcho,Jacques de Baroncelli
Q3418650,Ramuntcho,René Barberis
Q3418651,Ramuntcho,Pierre Schoendoerffer
Q3418783,Rancho Deluxe,Frank Perry
Q3418788,The Return of Bulldog Drummond,Walter Summers
Q3418812,"Behemoth, the Sea Monster",Douglas Hickox
Q3418812,"Behemoth, the Sea Monster",Eugène Lourié
Q3418827,The Iron Duke,Victor Saville
Q3418851,Il fare politica,Hugues Le Paige
Q3418875,The Divided Heart,Charles Crichton
Q3418906,Il giorno del furore,Antonio Calenda
Q3418957,Rango,Ernest B. Schoedsack
Q3419019,The She Beast,Michael Reeves
Q3419058,Raoni,Jean-Pierre Dutilleux
Q3419084,The Lion Has Seven Heads,Glauber Rocha
Q3419171,Il Maestro,Marion Hänsel
Q3419356,Under the Red Robe,Victor Sjöström
Q3419360,Repatriation,Kim Dong-won
Q3419543,"Raphael, or The Debauched One",Michel Deville
Q3419692,Chandi Sona,Sanjay Khan
Q3419705,Lajwanti,Narendra Suri
Q3419709,Marine Drive,G. P. Sippy
Q3419716,Rapt,Dimitri Kirsanoff
Q3419722,Jail yatra,Gajanan Jagirdar
Q3419726,Raat Aur Din,Satyendra Nath Bose
Q3419729,Nazrana,C. V. Sridhar
Q3419734,Char Dil Char Rahen,Khwaja Ahmad Abbas
Q3419741,Dharam Karam,Randhir Kapoor
Q3419747,Aashiq,Hrishikesh Mukherjee
Q3419753,"Rare Exports, Inc.",Jalmari Helander
Q3419754,Rare Exports : The Official Safety Instructions,Jalmari Helander
Q3419762,Neel Kamal,Kidar Sharma
Q3419765,Funtoosh,Chetan Anand
Q3419772,Chhalia,Manmohan Desai
Q3419775,Mera Saaya,Raj Khosla
Q3419781,Kala Bazar,Vijay Anand
Q3419786,Kal Aaj Aur Kal,Randhir Kapoor
Q3419792,Inquilab,Debaki Bose
Q3419804,Gauri,Kidar Sharma
Q3419869,Rasputin,Georges Combret
Q3419872,Shagird,Samir Ganguly
Q3419878,Prem Bandhan,Ramanand Sagar
Q3419886,Bidaai,L. V. Prasad
Q3419893,Dil Deke Dekho,Nasir Hussain
Q3419903,Raakh,Aditya Bhattacharya
Q3419910,Kanhaiya,Om Prakash
Q3419925,Do Dooni Chaar,Habib Faisal
Q3419931,Zindagi Ek Juaa,Prakash Mehra
Q3419943,Ishq Ishq Ishq,Dev Anand
Q3419960,Heera Panna,Dev Anand
Q3419970,Khandaan,Anil Ganguly
Q3419980,Humayun,Mehboob Khan
Q3419991,Howrah Bridge,Shakti Samanta
Q3419993,Aap Ki Kasam,J. Om Prakash
Q3419997,Libaas,Gulzar
Q3420003,Valmiki,Bhalji Pendharkar
Q3420008,Swarg Narak,Dasari Narayana Rao
Q3420017,Aandhi,Gulzar
Q3420021,Meera,Gulzar
Q3420034,"Ratas, Ratones, Rateros",Sebastián Cordero
Q3420037,Jurmana,Hrishikesh Mukherjee
Q3420151,Rattle of a Simple Man,Muriel Box
Q3420366,Ravissante,Robert Lamoureux
Q3420433,Raw Nerve,Avi Nesher
Q3420533,Eeshwar,Kasinathuni Viswanath
Q3420817,Bhakta Prahlada,H. M. Reddy
Q3420817,Bhakta Prahlada,Chilakalapudi Seeta Rama Anjaneyulu
Q3420831,Only Human,Dominic Harari
Q3420831,Only Human,Teresa de Pelegrí
Q3420854,Meu País,André Ristum
Q3420907,Bulldog Drummond at Bay,Norman Lee
Q3420924,Wetherby,David Hare
Q3421198,The Red Dwarf,Yvan Le Moine
Q34212573,On the Clock,Luis Martinez
Q3421338,El khoubz el hafi,Rachid Benhadj
Q3421359,The Past,Héctor Babenco
Q34213723,Voyonkor Sundor,Aimesh Aich
Q3421382,The Best Day of My Life,Cristina Comencini
Q3421383,Razor Blade Smile,Jake West
Q3421387,Razorback,Russell Mulcahy
Q3421398,The Prisoner,Peter Glenville
Q3421403,Raï,Thomas Gilou
Q3421418,Say Hello to Yesterday,Alvin Rakoff
Q3421429,King of the Night,Héctor Babenco
Q3421445,Target for Killing,Manfred R. Köhler
Q3421468,The High Bright Sun,Ralph Thomas
