id_l,name_l,id_r,name_r
http://www.wikidata.org/entity/Q10852961,La Pedrera Airport,node1fltlo2kox102728657,"La Pedrera Airport La Pedrera, Colombia"
http://www.wikidata.org/entity/Q10853002,Lalmonirhat Airport,node1fltlo0igx32158975,Lalmonirhat Airport
http://www.wikidata.org/entity/Q10853002,Lalmonirhat Airport,node1fltoot8cx27133708,Lalmonirhat Airport
http://www.wikidata.org/entity/Q10853002,Lalmonirhat Airport,node1fltop420x27059282,Lalmonirhat Airport
http://www.wikidata.org/entity/Q10853002,Lalmonirhat Airport,node1fltophqkx22235941,Lalmonirhat Airport
http://www.wikidata.org/entity/Q10853002,Lalmonirhat Airport,node1fm500u0bx102697679,Lalmonirhat Airport
http://www.wikidata.org/entity/Q10853002,Lalmonirhat Airport,node1fm5jsp14x43951408,Lalmonirhat Airport
http://www.wikidata.org/entity/Q10853379,Linden Airport,node1flvnj7j9x28418380,Linden Airport
http://www.wikidata.org/entity/Q10853392,Lakeland Airport,node1fm5jsu60x7987825,Lakeland Airport (Noble F. Lee Memorial Field)
http://www.wikidata.org/entity/Q10853394,Lakeland Linder Regional Airport,node1fm00g1bux16378364,Lakeland Linder Intl
http://www.wikidata.org/entity/Q10853394,Lakeland Linder Regional Airport,node1fm7rkrdmx59927374,Lakeland Linder Regional Airport
http://www.wikidata.org/entity/Q10853401,Malcolm McKinnon Airport,node1fltloh0ox83798866,Mckinnon St Simons I
http://www.wikidata.org/entity/Q10853404,Majors Airport,node1fltootkjx122043615,Majors Airport (Texas)
http://www.wikidata.org/entity/Q10853404,Majors Airport,node1fm19d5e3x75197553,Majors Airport (Texas)
http://www.wikidata.org/entity/Q10853404,Majors Airport,node1fm28si5fx36175852,Majors Airport (Texas)
http://www.wikidata.org/entity/Q10853404,Majors Airport,node1fm28u51lx45831569,Majors Airport (Texas)
http://www.wikidata.org/entity/Q10853404,Majors Airport,node1fm5015scx29809378,Majors Airport (Texas)
http://www.wikidata.org/entity/Q10853404,Majors Airport,node1fm7c5m9mx50652117,Majors Airport (Texas)
http://www.wikidata.org/entity/Q10853404,Majors Airport,node1fm7c5olvx108392162,Majors Airport (Texas)
http://www.wikidata.org/entity/Q10853404,Majors Airport,node1fm7c5q1rx48014676,Majors Airport (Texas)
http://www.wikidata.org/entity/Q10853404,Majors Airport,node1fm7rl8etx4378426,Majors Airport (Texas)
http://www.wikidata.org/entity/Q10853404,Majors Airport,node1fm9vh3c6x10253833,Majors Airport (Texas)
http://www.wikidata.org/entity/Q10853418,New Richmond Regional Airport,node1fm19d86nx83560202,New Richmond Regional Airport
http://www.wikidata.org/entity/Q10853421,Waukegan Regional Airport,node1fltop63mx37460340,Waukegan National Airport
http://www.wikidata.org/entity/Q10853423,Paulding Northwest Atlanta Airport,node1fm0j4usbx7600121,Paulding County Regional Airport
http://www.wikidata.org/entity/Q10853499,Winchester Regional Airport,node1fm19ddrnx45309703,Winchester Regl
http://www.wikidata.org/entity/Q10853529,Neuchâtel Airport,node1flu99up2x70435296,Neuchatel Airport
http://www.wikidata.org/entity/Q10853529,Neuchâtel Airport,node1fm19d10vx5200591,Neuchatel
http://www.wikidata.org/entity/Q10853559,Eddie Andreini Sr. Airfield,node1fltlo2kox48305491,Half Moon Bay Airport
http://www.wikidata.org/entity/Q10853596,Wilkes County Airport,node1fltibmgrx11037715,Wilkes County Airport
http://www.wikidata.org/entity/Q1085370,Jining Qufu Airport,node1fm7c5o0ox65799107,Jining
http://www.wikidata.org/entity/Q10853711,Kleinzee Airport,node1fm28u8nfx39144462,Kleinsee Airport
http://www.wikidata.org/entity/Q10853767,York Airport (Pennsylvania),node1flu5gs4ax87058874,York Airport
http://www.wikidata.org/entity/Q10853769,Jurien Bay Airport,node1fltlounbx646535,Jurien Bay Airport
http://www.wikidata.org/entity/Q10947290,Anyang Yudongbei Airport,node1fltop454x27014852,Anyang Airport
http://www.wikidata.org/entity/Q10947290,Anyang Yudongbei Airport,node1fm7c5l38x119766710,Anyang Airport
http://www.wikidata.org/entity/Q10947290,Anyang Yudongbei Airport,node1fm7c5lrqx102772744,Anyang Airport
http://www.wikidata.org/entity/Q1100795,Cleveland Hopkins International Airport,node1fm502h1sx37948050,Cleveland-Hopkins Intl
http://www.wikidata.org/entity/Q1101384,Ratmalana Airport,node1fm0j54opx40960660,Ratmalana Airport
http://www.wikidata.org/entity/Q1107152,Wrocław – Copernicus Airport,node1fltlo0l5x49143570,Strachowice
http://www.wikidata.org/entity/Q1107152,Wrocław – Copernicus Airport,node1fm28u8nfx56934552,Wroclaw Airport (WRO)
http://www.wikidata.org/entity/Q1109558,Ljubljana Jože Pučnik Airport,node1fltoorcax67636647,Ljubljana Airport (LJU)
http://www.wikidata.org/entity/Q1109558,Ljubljana Jože Pučnik Airport,node1fm19d774x15045043,Brnik
http://www.wikidata.org/entity/Q1109558,Ljubljana Jože Pučnik Airport,node1fm28u28dx53124656,Brnik Airport
http://www.wikidata.org/entity/Q1109558,Ljubljana Jože Pučnik Airport,node1fm500u55x111373614,Brnik Airport
http://www.wikidata.org/entity/Q1109558,Ljubljana Jože Pučnik Airport,node1fm501599x75041048,Brnik Airport
http://www.wikidata.org/entity/Q1109558,Ljubljana Jože Pučnik Airport,node1fm5jsp14x37941344,Brnik Airport
http://www.wikidata.org/entity/Q1109558,Ljubljana Jože Pučnik Airport,node1fm5jsu60x52168355,Ljubljana - Jože Pučnik / Brnik
http://www.wikidata.org/entity/Q1109558,Ljubljana Jože Pučnik Airport,node1fm7c5l37x59557658,Brnik Airport
http://www.wikidata.org/entity/Q1109558,Ljubljana Jože Pučnik Airport,node1fm7c5noox46657880,Brnik Airport
http://www.wikidata.org/entity/Q1109558,Ljubljana Jože Pučnik Airport,node1fm7c5q1rx18075271,Brnik Airport
http://www.wikidata.org/entity/Q1109558,Ljubljana Jože Pučnik Airport,node1fm7rlbh5x78831374,Brnik Airport
http://www.wikidata.org/entity/Q1119549,Dali Airport,node1fm28u81fx10897662,Dali Airport
http://www.wikidata.org/entity/Q1124922,Zvartnots International Airport,node1fm28u3phx23849940,Yerevan Airport (EVN)
http://www.wikidata.org/entity/Q1124922,Zvartnots International Airport,node1fm28u3phx58409935,Аэропорт Звартноц
http://www.wikidata.org/entity/Q1125392,Split Airport,node1fltlo6hqx6106475,Split Airport
http://www.wikidata.org/entity/Q1125392,Split Airport,node1fltloln5x61992314,Split Airport (SPU)
http://www.wikidata.org/entity/Q1125392,Split Airport,node1flvnj01sx90570821,Split Airport
http://www.wikidata.org/entity/Q1125392,Split Airport,node1flvnk1cgx5075531,Split - Zracna luka
http://www.wikidata.org/entity/Q1125392,Split Airport,node1fm00fgdsx44310007,Split Airport
http://www.wikidata.org/entity/Q11297921,King Khalid Air Base,node1fm7c62d7x13419824,King Khaled Air Base
http://www.wikidata.org/entity/Q1130231,Turku Airport,node1fm00f9l2x574616,Turku Airport
http://www.wikidata.org/entity/Q1130231,Turku Airport,node1fm28u6fmx36109048,Turku Airport (TKU)
http://www.wikidata.org/entity/Q1130612,Gran Canaria Airport,node1fltlnkd7x19371458,Gran Canaria Las Palmas Airport
http://www.wikidata.org/entity/Q1130612,Gran Canaria Airport,node1fltopaq4x99135328,Gran Canaria International Airport
http://www.wikidata.org/entity/Q1130612,Gran Canaria Airport,node1flvnj7j9x20042329,Las Palmas - Gran Canaria
http://www.wikidata.org/entity/Q1130612,Gran Canaria Airport,node1fm19d7ddx10184405,Gran Canaria
http://www.wikidata.org/entity/Q1130612,Gran Canaria Airport,node1fm28u6fmx55224542,Gran Canaria Airport (LPA)
http://www.wikidata.org/entity/Q1132069,Pai Airport,node1fltloh79x98207316,Mae Hong Son Airport
http://www.wikidata.org/entity/Q1134254,Butaritari Atoll Airport,node1fm7c5lg2x57466097,Butaritari Airport
http://www.wikidata.org/entity/Q1134280,Zhangjiajie Hehua Airport,node1fm28u0h2x16217350,Dayong Airport
http://www.wikidata.org/entity/Q1134491,Tsushima Airport,node1fm320u09x621279,Tsushima Airport
http://www.wikidata.org/entity/Q1134491,Tsushima Airport,node1fm7c5n22x29220469,Tsushima Airport
http://www.wikidata.org/entity/Q1135486,Dayton International Airport,node1fltlogftx99371350,James M. Cox International Airport
http://www.wikidata.org/entity/Q1135486,Dayton International Airport,node1fltop9u6x47016000,Cox Dayton Intl
http://www.wikidata.org/entity/Q1136355,Antonio B. Won Pat International Airport,node1fm19d7ddx79112912,Antonio B. Won Pat International Airport
http://www.wikidata.org/entity/Q1136355,Antonio B. Won Pat International Airport,node1fm50127jx104894882,Antonio B. Won Pat International Airport
http://www.wikidata.org/entity/Q1136355,Antonio B. Won Pat International Airport,node1fm7rkrdmx53754883,Antonio B. Won Pat International Airport
http://www.wikidata.org/entity/Q1137465,Fukuoka Airport,node1fltop3q8x68231687,Fukuoka
http://www.wikidata.org/entity/Q1137465,Fukuoka Airport,node1fm28u5utx16238476,Fukuoka Airport
http://www.wikidata.org/entity/Q1139412,Izumo Airport,node1fm9vhd2ux15940869,Izumo
http://www.wikidata.org/entity/Q1139661,Queen Beatrix International Airport,node1fltloh79x121827961,Queen Beatrix International Airport
http://www.wikidata.org/entity/Q1141214,Tunis–Carthage International Airport,node1fm19dbqpx21875591,Carthage
http://www.wikidata.org/entity/Q1141214,Tunis–Carthage International Airport,node1fm28st5mx57154553,Tunis-Carthage International Airport
http://www.wikidata.org/entity/Q1141214,Tunis–Carthage International Airport,node1fm28tsqdx63848778,Tunis-Carthage International Airport
http://www.wikidata.org/entity/Q1141214,Tunis–Carthage International Airport,node1fm5017anx76540217,Tunis-Carthage International Airport
http://www.wikidata.org/entity/Q1141214,Tunis–Carthage International Airport,node1fm7c5n22x38702462,Tunis-Carthage International Airport
http://www.wikidata.org/entity/Q1141214,Tunis–Carthage International Airport,node1fm9vgu44x9238255,Tunis-Carthage International Airport
http://www.wikidata.org/entity/Q1141214,Tunis–Carthage International Airport,node1fm9vh3f7x12142870,Tunis-Carthage International Airport
http://www.wikidata.org/entity/Q1141414,Rijeka Airport,node1fm00f2l7x48617933,Rijeka Airport
http://www.wikidata.org/entity/Q1141414,Rijeka Airport,node1fm500u3cx63352050,Rijeka Airport (RJK)
http://www.wikidata.org/entity/Q1141511,Komatsu Airport,node1fltooqjhx118237353,Komatsu
http://www.wikidata.org/entity/Q1141511,Komatsu Airport,node1fltop290x116070311,Komatsu Airport
http://www.wikidata.org/entity/Q1141523,Kimberley Airport,node1fm00fbr5x40131170,Kimberley
http://www.wikidata.org/entity/Q1141523,Kimberley Airport,node1fm00fdn1x34556528,Kimberley Airport (KIM)
http://www.wikidata.org/entity/Q1141523,Kimberley Airport,node1fm19d8lbx21729878,Kimberley
http://www.wikidata.org/entity/Q1141523,Kimberley Airport,node1fm28v2isx44195213,Kimberley Airport
http://www.wikidata.org/entity/Q1142219,Jorge Chávez International Airport,node1fm00fe7fx57181997,Aeropuerto Internacional Jorge Chávez
http://www.wikidata.org/entity/Q1142219,Jorge Chávez International Airport,node1fm500u3cx43515290,Jorge Chavez Intl
http://www.wikidata.org/entity/Q1142332,Tandag Airport,node1fm501hl8x35523323,Tandag Airport
http://www.wikidata.org/entity/Q1142332,Tandag Airport,node1fm7c5lrqx23337758,Tandag Airport
http://www.wikidata.org/entity/Q1142332,Tandag Airport,node1fm7c5o0ox6778753,Tandag Airport
http://www.wikidata.org/entity/Q1142332,Tandag Airport,node1fm7rkq9ax51787734,Tandag Airport
http://www.wikidata.org/entity/Q1142332,Tandag Airport,node1fm9vh3f7x10261681,Tandag Airport
http://www.wikidata.org/entity/Q1142384,Heraklion International Airport,node1fltop420x5880341,Nikos Kazantzakis International Airport
http://www.wikidata.org/entity/Q1142384,Heraklion International Airport,node1flu986htx105913119,Heraklion - Nikos Kazantzakis
http://www.wikidata.org/entity/Q1142384,Heraklion International Airport,node1flvnjoe7x3828105,Crete Airport Heraklion (HER)
http://www.wikidata.org/entity/Q1142384,Heraklion International Airport,node1fm00f6ulx29327998,Crete Airport Heraklion (HER)
http://www.wikidata.org/entity/Q1142384,Heraklion International Airport,node1fm28sl8dx59877746,Nikos Kazantzakis
http://www.wikidata.org/entity/Q1142384,Heraklion International Airport,node1fm500qnox43875351,Crete Airport Heraklion (HER)
http://www.wikidata.org/entity/Q1142384,Heraklion International Airport,node1fm7rktv5x51451828,Heraklion International Airport
http://www.wikidata.org/entity/Q1142389,Skopje Airport,node1fltlnsi4x83283618,Skopje Airport (SKP)
http://www.wikidata.org/entity/Q1142410,Girona-Costa Brava Airport,node1fltibko7x14133064,
http://www.wikidata.org/entity/Q1142410,Girona-Costa Brava Airport,node1fltibko7x14133064,Girona-Costa Brava Airport
http://www.wikidata.org/entity/Q1142410,Girona-Costa Brava Airport,node1fm28u4chx5517465,Girona - Costa Brava
http://www.wikidata.org/entity/Q1142453,Tokushima Airport,node1fm500qnox72335294,Tokushima Airport
http://www.wikidata.org/entity/Q1143116,Haikou Meilan International Airport,node1fltop84cx42713115,Haikou Meilan International Airport
http://www.wikidata.org/entity/Q1143116,Haikou Meilan International Airport,node1fm28u9vsx5078633,Haikou
http://www.wikidata.org/entity/Q114345,Marina di Campo Airport,node1fm7c5o0ox81543767,Marina Di Campo
http://www.wikidata.org/entity/Q11434817,New Ishigaki Airport,node1flu60cn7x81247141,Painushima Ishigaki
http://www.wikidata.org/entity/Q705963,Old Ishigaki Airport,node1flu60cn7x81247141,Painushima Ishigaki
http://www.wikidata.org/entity/Q1144233,Corfu International Airport,node1fltlokhex77334329,Corfu Airport (CFU)
http://www.wikidata.org/entity/Q1144233,Corfu International Airport,node1fm7c5olvx74007947,Corfu International Airport
http://www.wikidata.org/entity/Q1146451,Lihue Airport,node1fltoou5fx119166559,Lihue
http://www.wikidata.org/entity/Q1147000,Dubrovnik Airport,node1fltlp8eux53291744,Dubrovnik Airport
http://www.wikidata.org/entity/Q1147000,Dubrovnik Airport,node1fltoonpmx77593129,Dubrovnik Airport (DBV)
http://www.wikidata.org/entity/Q1147000,Dubrovnik Airport,node1flvnjj3gx86480940,Dubrovnik Airport / Cilipi Airport
http://www.wikidata.org/entity/Q1147000,Dubrovnik Airport,node1fm00f5opx49171305,Dubrovnik Airport / Cilipi Airport
http://www.wikidata.org/entity/Q1147000,Dubrovnik Airport,node1fm7rl7rox45224745,Dubrovnik Airport
http://www.wikidata.org/entity/Q1148447,Oki Airport,node1fm5jsotox51795714,Oki Airport
http://www.wikidata.org/entity/Q1150574,Wellington International Airport,node1fltootccx117365330,Wellington International Airport
http://www.wikidata.org/entity/Q1150574,Wellington International Airport,node1fltopd4cx27936300,Wellington Intl
http://www.wikidata.org/entity/Q1150574,Wellington International Airport,node1flvnjaavx51849270,Wellington Airport (WLG)
http://www.wikidata.org/entity/Q1150574,Wellington International Airport,node1flvnjgb2x70998046,Wellington International Airport
http://www.wikidata.org/entity/Q1150868,Kramfors-Sollefteå Airport,node1fm19dbqpx118831402,Kramfors Sollefteä Airport
http://www.wikidata.org/entity/Q1150868,Kramfors-Sollefteå Airport,node1fm7c5o0ox81543798,Kramfors
http://www.wikidata.org/entity/Q1151899,Parsabad-Moghan Airport,node1fm28uhcjx2930112,Parsabade Moghan Airport
http://www.wikidata.org/entity/Q1151971,Sahand Airport,node1fm19d7ddx5488962,Sahand Airport
http://www.wikidata.org/entity/Q1151971,Sahand Airport,node1fm19dfivx733966,Sahand Airport
http://www.wikidata.org/entity/Q1151971,Sahand Airport,node1fm28u554x43274579,Sahand Airport
http://www.wikidata.org/entity/Q1151971,Sahand Airport,node1fm7c5olvx57373806,Sahand Airport
http://www.wikidata.org/entity/Q1151971,Sahand Airport,node1fm7c60jnx36444377,Sahand Airport
http://www.wikidata.org/entity/Q1152024,Mashhad International Airport,node1fm0j5bkax38274674,Mashhad International Airport
http://www.wikidata.org/entity/Q1153219,Governador Jorge Teixeira de Oliveira International Airport,node1fltootccx110407333,Governador Jorge Teixeira de Oliveira International Airport
http://www.wikidata.org/entity/Q1155685,Hakodate Airport,node1fm28u07kx51408441,Hakodate
http://www.wikidata.org/entity/Q1155932,Ancona Falconara Airport,node1fltoouulx98192798,Ancona Airport (AOI)
http://www.wikidata.org/entity/Q1155932,Ancona Falconara Airport,node1fm5jsosbx33488083,Falconara Airport
