id,title,author
Q100330147,"Twilight of the Gods: War in the Western Pacific, 1944-1945",Ian W. Toll
Q100333537,The Silence,Don DeLillo
Q100334010,The War that Ended Peace,Margaret MacMillan
Q100334198,Lincoln and the U.S. Colored Troops,John David Smith
Q100335860,The Betrayal,Charles Fountain
Q100336870,Sportswriter: The Life and Times of Grantland Rice,Charles Fountain
Q100337501,Consumption and Gender in Southern Europe since the Long 1960s,Eirini Kotsovili
Q100337501,Consumption and Gender in Southern Europe since the Long 1960s,Nikolaos Papadogiannis
Q100337501,Consumption and Gender in Southern Europe since the Long 1960s,Kostis Kornetis
Q100339552,Rock Star Hitman,Drew Fortier
Q100339552,Rock Star Hitman,David Ellefson
Q1003401,The She-Wolf of France,Maurice Druon
Q100347436,The Afterlife of Austria-Hungary: The Image of the Habsburg Monarchy in Interwar Europe,Adam Kożuchowski
Q100348754,Worth Saving: Disabled Children During the Second World War,Sue Wheatcroft
Q100353774,History and International Relations: From the Ancient World to the 21st Century,Howard LeRoy Malchow
Q100354199,Pivotal Tuesdays: Four Elections That Shaped the Twentieth Century,Margaret O'Mara
Q100354211,"A Hallucinogenic Tea, Laced with Controversy: Ayahuasca in the Amazon and the United States",Róger Rumrrill
Q100354211,"A Hallucinogenic Tea, Laced with Controversy: Ayahuasca in the Amazon and the United States",Marlene Dobkin de Rios
Q100354264,Troubling Freedom: Antigua and the Aftermath of British Emancipation,Natasha Lightfoot
Q100354688,"Political Belief in France, 1927-1945: Gender, Empire, and Fascism in the Croix de Feu and Parti Social Francais",Caroline Campbell
Q100357697,Novelty Fair: British Visual Culture between Chartism and the Great Exhibition,Jo Briggs
Q100360276,The Burdens of Brotherhood: Jews and Muslims from North Africa to France,Ethan Katz
Q100361080,Life and Times in Nazi Germany,Lisa Pine
Q100361352,Liberalism: The Life of an Idea,Edmund Fawcett
Q100361598,A History of the Urals,Paul Dukes
Q100361719,Post-war Japan as a Sea Power,Alessio Patalano
Q100361967,The Last of the Tsars: Nicholas II and the Russian Revolution,Robert Service
Q100372625,"Print Culture, Crime and Justice in 18th-Century London",Richard M. Ward
Q100387696,The Winter War,Antti Tuuri
Q100396416,Violent Victorians: Popular Entertainment in Nineteenth-Century London,Rosalind Crone
Q100396483,China Under Mao: A Revolution Derailed,Andrew G. Walder
Q100397045,"Science in Democracy: Expertise, Institutions, and Representation",Mark B. Brown
Q100397413,Kids Rule! Nickelodeon and Consumer Citizenship,Sarah Banet-Weiser
Q100397973,The Museum Experience Revisited,John H. Falk
Q100397973,The Museum Experience Revisited,Lynn D. Dierking
Q100414884,The Door to Saturn,Clark Ashton Smith
Q100414932,The Dweller in the Tomb,Lin Carter
Q100427983,Kontrako eztarritik,Uxue Alberdi
Q1004825,A Tramp Abroad,Mark Twain
Q100510114,The Kaiser’s Coolies,Theodor Plievier
Q100510348,Chasing the Sun,Linda Geddes
Q100510911,"The Pandemic Century: One Hundred Years of Panic, Hysteria, and Hubris",Mark Honigsbaum
Q100511516,"Prisoners of Hope: Lyndon B. Johnson, the Great Society, and the Limits of Liberalism",Randall Bennett Woods
Q100533182,From the Free States,Johannes V. Jensen
Q100534324,Good Reasons for Bad Feelings,Randolph M. Nesse
Q100565908,The Gene Machine,Bonnie Rochman
Q100596944,Der Spiritismus,"Karl, Freiherr von Prel"
Q10062229,Life is Beautiful!,Anton Chekhov
Q100635332,Die Siedlung,Auguste Hauschner
Q100635524,Die Heilung,Auguste Hauschner
Q100666332,"Nine Pints: A Journey Through the Money, Medicine, and Mysteries of Blood",Rose George
Q100678233,"We Are Not Such Things: The Murder of a Young American, a South African Township, and the Search for Truth and Reconciliation",Justine van der Leun
Q100682888,Soul Machine: The Invention of the Modern Mind,George Makari
Q100683764,Soul at the White Heat,Joyce Carol Oates
Q100690933,When Death Becomes Life: Notes from a Transplant Surgeon,Joshua D. Mezrich
Q100697609,Dancing Bear,James Crumley
Q100697611,Dancing in the Dark,Janet Hobhouse
Q100697614,"The Chosen Place, the Timeless People",Paule Marshall
Q100697640,The Debut,Anita Brookner
Q100697661,Something to Be Desired,Thomas McGuane
Q100697663,A Handbook for Visitors From Outer Space,Kathryn Kramer
Q100697675,Taking Care,Joy Williams
Q100697685,Airships,Barry Hannah
Q100697712,Fiskadoro,Denis Johnson
Q100697713,Carnival for the Gods,Gladys Swan
Q100697716,Love Always,Ann Beattie
Q100697751,November,Janet Hobhouse
Q100697753,Nobody's Angel,Thomas McGuane
Q100697755,The Last Election,Pete Davies
Q100697758,River Dogs,Robert Olmstead
Q100697760,The Car Thief,Theodore Weesner
Q100697762,"Asa, as I Knew Him",Susanna Kaysen
Q100697764,Within Normal Limits,Todd Grimson
Q100697766,One to Count Cadence,James Crumley
Q100697767,BOP,Maxine Chernoff
Q100697769,Rubicon Beach,Steve Erickson
Q100697771,Clea & Zeus Divorce,Emily Prager
Q100697774,A Visit From the Footbinder and Other Stories,Emily Prager
Q100697778,A Narrow Time,Michael Downing
Q100697780,To Skin a Cat,Thomas McGuane
Q100697799,Family Resemblances,Lowry Pei
Q100697802,Lulu Incognito,Raymond Kennedy
Q100697812,Soft Water,Robert Olmstead
Q100697816,From Rockaway,Jill Eisenstadt
Q100697817,Breaking & Entering,Joy Williams
Q100697819,Platitudes,Trey Ellis
Q100697820,Pages from a Cold Island,Frederick Exley
Q100697831,"Saigon, Illinois",Paul Hoover
Q100697841,I Look Divine,Christopher Coe
Q100697843,The All-Girl Football Team,Lewis Nordan
Q100697858,Bad Behavior,Mary Gaitskill
Q100697865,"Fires: Essays, Poems, Stories",Raymond Carver
Q100697884,Where I'm Calling From: New and Selected Stories,Raymond Carver
Q100697958,California Bloodstock,Terry McDonell
Q100697976,The Consolation of Nature and Other Stories,Valerie Martin
Q100697979,A Recent Martyr,Valerie Martin
Q100697995,Welcome to the Arrow-Catcher Fair,Lewis Nordan
Q100697997,The Beginning of Sorrows,David Martin
Q100698000,Rabbit Boss,Thomas Sanchez
Q100698019,The Garden State,Gary Krist
Q100698037,Selected Stories,Andre Dubus
Q100698052,The Colorist,Susan Daitch
Q100698055,Latecomers,Anita Brookner
Q100698060,Last Notes from Home,Frederick Exley
Q100698065,House of Heroes and Other Stories,Mary La Chapelle
Q100698068,State of Grace,Joy Williams
Q100698070,We Find Ourselves in Moontown,Jay Gummerman
Q100698072,The Late-Summer Passion of a Woman of Mind,Rebecca Goldstein
Q100698075,A Virtuous Woman,Kaye Gibbons
Q100698077,The Cockroaches of Stay More,Donald Harington
Q100698079,Sirens,Stephen Pett
Q100698088,I Pass Like Night,Jonathan Ames
Q100698090,The History of Luminous Motion,Scott Bradfield
Q100698116,Far Afield,Susanna Kaysen
Q100698118,Mile Zero,Thomas Sanchez
Q100698120,A Farm Under a Lake,Martha Bergland
Q100698123,The Chinchilla Farm,Judith Freeman
Q100698125,Obscene Gestures for Women,Janet Kauffman
Q100698126,Chilly Scenes of Winter,Ann Beattie
Q100698128,Distortions,Ann Beattie
Q100698130,Picturing Will,Ann Beattie
Q100698132,Every Good-Bye Ain't Gone : Family Portraits and Personal Escapades,Itabari Njeri
Q100698135,All It Takes,Patricia Volk
Q100698136,Lewis Percy,Anita Brookner
Q100698139,The Coast of Chicago,Stuart Dybek
Q100698150,Port Tropique,Barry Gifford
Q100698154,Mischief Makers,Nettie Jones
Q100698165,Escapes,Joy Williams
Q100698169,Falling in Place,Ann Beattie
Q100698171,Secrets and Surprises,Ann Beattie
Q100698172,Homeboy,Seth Morgan
Q100698181,Harry and Catherine,Frederick Busch
Q100698182,White Girls,Lynn Lauber
Q100698194,Big Bad Love,Larry Brown
Q100698196,The Wars of Heaven,Richard Currey
Q100698211,The Safety of Objects,A. M. Homes
Q100698215,Philadelphia Fire,John Edgar Wideman
Q100698217,The Final Club,Geoffrey Wolff
Q100698220,Providence (Wolff),Geoffrey Wolff
Q100698222,The Laughing Sutra,Mark Salzman
Q100698225,Many Things Have Happened Since He Died,Elizabeth Dewberry Vaughn
Q100698237,Dream of the Wolf,Scott Bradfield
Q100698265,The Planets,Jennifer Finney Boylan
Q100698267,Brief Lives,Anita Brookner
Q100698281,What Was Mine,Ann Beattie
Q100698284,Sailor's Holiday,Barry Gifford
Q100698286,"No Heroics, Please: Uncollected Writings",Raymond Carver
Q100698293,Ride a Cockhorse,Raymond Kennedy
Q100698295,The Player,Michael Tolkin
Q100698296,"Gorilla, My Love",Toni Cade Bambara
Q100698299,The Revolution of Little Girls,Blanche McCrary Boyd
Q100698301,In My Father's House,Ernest J. Gaines
Q100698303,A Cure for Dreams,Kaye Gibbons
Q100698304,Easy Travel to Other Planets,Ted Mooney
Q100698305,Traffic and Laughter,Ted Mooney
Q100698306,Thereafter Johnnie,Carolivia Herron
Q100698309,Kentucky Straight,Chris Offutt
Q100698310,Eve's Tattoo,Emily Prager
Q100698312,A Closed Eye,Anita Brookner
Q100698322,Violence,Richard Bausch
Q100698323,Catherine Carmier,Ernest J. Gaines
Q100698324,Landscape with Traveler: The Pillow Book of Francine Reeves,Barry Gifford
Q100698325,Impossible Vacation,Spalding Gray
Q100698326,City of Boys,Beth Nugent
Q100698327,A Guide for the Perplexed,Jonathan Levi
Q100698328,All Stories Are True,John Edgar Wideman
Q100698329,Short Cuts,Raymond Carver
Q100698330,"Et Tu, Babe",Mark Leyner
Q100698335,Through the Ivory Gate,Rita Dove
Q100698339,Fraud,Anita Brookner
Q100698341,Providence,Anita Brookner
Q100698343,Nothing But Blue Skies,Thomas McGuane
Q100698344,Buffalo Soldiers,Robert O'Connor
Q100698345,In a Country of Mothers,A. M. Homes
Q100698346,Particles and Luck,Louis B. Jones
Q100698354,Of Love and Dust,Ernest J. Gaines
Q100698357,The Last Good Time,Richard Bausch
Q100698359,Rebel Powers,Richard Bausch
Q100698360,Littlejohn,Howard Owen
Q100698362,The One-Room Schoolhouse,Jim Heynen
Q100698363,Sleeping Beauties,Susanna Moore
Q100698364,Secrets,Kelvin Christopher James
Q100698365,Honey,Elizabeth Tallent
Q100698369,The Redneck Way of Knowledge,Blanche McCrary Boyd
Q100698370,Dolly,Anita Brookner
Q100698371,I Smell Esther Williams and Other Stories,Mark Leyner
Q100698372,The Soloist,Mark Salzman
Q100698373,Loose Woman,Sandra Cisneros
Q100698374,Life Estates,Shelby Hearon
Q100698378,Panama,Thomas McGuane
Q100698380,Rare and Endangered Species : A Novella and Stories,Richard Bausch
Q100698381,A Stranger in this World,Kevin Canty
Q100698387,The Burning House,Ann Beattie
Q100698396,A Private View,Anita Brookner
Q100698397,Tooth Imprints on a Corn Dog,Mark Leyner
Q100698405,Rocket City,Cathryn Alpert
Q100698409,Cuba and the Night,Pico Iyer
Q100698410,"The Country Ahead of Us, The Country Behind",David Guterson
Q100698412,Let 'Em Eat Cake,Susan Jedren
Q100698413,Where Love Goes,Joyce Maynard
Q100698414,Another You,Ann Beattie
Q100698415,Back in the World,Tobias Wolff
Q100698416,Incidents in the Rue Laugier,Anita Brookner
Q100698417,Look at Me,Anita Brookner
Q100698421,Harmony of the World,Charles Baxter
Q100698422,A White Merc with Fins,James Hawes
Q100698424,I Was Amelia Earhart,Jane Mendelsohn
Q100698425,Mona in the Promised Land,Gish Jen
Q100698440,The Last of the Savages,Jay McInerney
Q100698443,Wonder Book of the Air,Cynthia Shearer
Q100698444,A Desert of Pure Feeling,Judith Freeman
Q100698445,Getting Over Homer,Mark O'Donnell
Q100698446,My Old Sweetheart,Susanna Moore
Q100698448,Into the Great Wide Open,Kevin Canty
Q100698449,A Regular Guy,Mona Simpson
Q100698450,The Night in Question,Tobias Wolff
Q100698455,Bloodline,Ernest J. Gaines
Q100698456,Live Girls,Beth Nugent
Q100698457,Love Invents Us,Amy Bloom
Q100698458,Altered States,Anita Brookner
Q100698459,Family and Friends,Anita Brookner
Q100698460,What Girls Learn,Karin Cook
Q100698462,Little Kingdoms,Steven Millhauser
Q100698464,As She Climbed Across the Table,Jonathan Lethem
Q100698470,Women with Men,Richard Ford
Q100698472,Carson Valley,Bill Barich
Q100698483,Exiles,Philip Caputo
Q100698499,The Friends of Freeland,Brad Leithauser
Q100698502,Round Rock,Michelle Huneven
Q100698503,The Tetherballs of Bougainville,Mark Leyner
Q100698505,Believers,Charles Baxter
Q100698506,Through the Safety Net,Charles Baxter
Q100698507,California's Over,Louis B. Jones
Q100698510,Visitors,Anita Brookner
Q100698511,Horace Afoot,Frederick Reuss
Q100698512,"Deep Sightings & Rescue Missions: Fiction, Essays, & Conversations",Toni Cade Bambara
Q100698516,Plays Well With Others,Allan Gurganus
Q100698519,Singing into the Piano,Ted Mooney
Q100698524,The Everlasting Story of Nory,Nicholson Baker
Q100698525,Bringing Out the Dead,Joe Connelly
Q100698526,Meditations from a Movable Chair,Andre Dubus
Q100698528,Preston Falls,David Gates
Q100698529,The House of Sleep,Jonathan Coe
Q100698530,Inn at Lake Devine,Elinor Lipman
Q100698532,Park City: New and Selected Stories,Ann Beattie
Q100698533,"Goodnight, Nebraska",Tom McNeal
Q100698541,The Half-Life of Happiness,John Casey
Q100698543,Rules of the Wild,Francesca Marciano
Q100698544,Evening,Susan Minot
Q100698545,Sometimes the Soul,Gioia Timpanelli
Q100698546,Slapboxing with Jesus,Victor LaValle
Q100698549,Machine Dreams,Jayne Anne Phillips
Q100698550,Let Nothing You Dismay,Mark O'Donnell
Q100698552,Keep the Change,Thomas McGuane
Q100698553,A Good Baby,Leon Rooke
Q100698554,The Five Gates of Hell,Rupert Thomson
Q100698555,Air & Fire,Rupert Thomson
Q100699629,"Exposure: Poisoned Water, Corporate Greed, and One Lawyer's Twenty-Year Battle Against DuPont",Robert Bilott
Q100699693,Pain Studies,Lisa Olstein
Q100700085,Historia de la leche,Mónica Ojeda
Q100701040,Mutant Kiddies,Massimiliano Geraci
Q100705271,The Doom of Principal City,Efim Zozulya
Q100708850,Synchronization in Birkenwald,Viktor Frankl
Q100711952,Greenlights,Matthew McConaughey
Q100724973,Jussi Halla-aho: Epävirallinen elämäkerta,Lauri Nurmi
Q100735353,A Diplomat's Life,Kōtō Matsudaira
Q100736039,In Praise of Walking,Shane O'Mara
Q100736081,Why Torture Doesn’t Work: The Neuroscience of Interrogation,Shane O'Mara
Q100736601,"A Rage for Order: The Middle East in Turmoil, from Tahrir Square to ISIS",Robert F. Worth
Q100739426,The End of Innocence,Simon Garfield
Q100746720,A Lover's Complaint,William Shakespeare
Q100752362,Night. Sleep. Death. the Stars.,Joyce Carol Oates
Q100757198,"Shadow Network: Media, Money, and the Secret Hub of the Radical Right",Anne Nelson
Q100760274,Hombre planetario,Jorge Carrera Andrade
Q100768480,Ganga Chilonir Pakhi,Lakshmi Nandan Bora
Q100768587,Prem Amritoro Nodi,Syed Abdul Malik
Q100768664,Pratima,Chandra Kumar Agarwala
Q100773938,Harrow the Ninth,Tamsyn Muir
Q100785130,Ei kertonut katuvansa,Tommi Kinnunen
Q100785938,Pintti,Tommi Kinnunen
Q100791705,Hidden Hand,Clive Hamilton
Q100791763,Pachima Godavari Jillalo Mahatmuni Sancharam,Gadam Gopala Swami
Q100796830,Memories of Fifty Years,John Lester Wallack
Q100796830,Memories of Fifty Years,Lester Wallack
Q100796830,Memories of Fifty Years,Laurence Hutton
Q100828759,The Courier,Gerald Brandt
Q100882247,Deconstructing Travel: Cultural Perspectives on Tourism,Arthur Asa Berger
Q100909427,The Collected Poems of John Masefield,John Masefield
Q100917592,How to Understand Israel in 60 Days or Less,Sarah Glidden
Q100923811,No one knows me,Rakesh
Q100935350,Mato,Muramatsu Shōfu
Q100938821,Kopilipariya Xadhu,Nabakanta Barua
Q100938992,Susan and the Mermaid,Pamela Colman Smith
Q100984182,The Woman Who Walked in Sunshine,Alexander McCall Smith
Q100984241,Precious and Grace,Alexander McCall Smith
Q100984309,The House of Unexpected Sisters,Alexander McCall Smith
Q100984412,The Colours of All the Cattle,Alexander McCall Smith
Q100984494,To the Land of Long Lost Friends,Alexander McCall Smith
Q100987270,Memorial,Bryan Washington
Q1009887,Colourful stones,Adalbert Stifter
Q100989077,"Don Quixote, part 1",Miguel de Cervantes
Q100989084,"Don Quixote, part 2",Miguel de Cervantes
Q100989161,Crystal healing : the practical guide to using crystals for health and well-being,Simon Lilly
Q100989218,Natural cooling for homes,Herbert Naumann
Q100997859,A traveler's companion to the 'verse,Marc Sumerak
Q100997892,Shuggie Bain,Douglas Stuart
Q100997953,Diccionario de antigüedades del Reino de Navarra,José Yanguas y Miranda
Q100997976,Vulcan,Dayton Ward
Q100998654,Before Babel: A History of Basque Literatures,Joseba Gabilondo
Q101001060,Lords of Destruction,James R. Silke
Q101001105,Tooth and Claw,James R. Silke
Q101001238,Seeing Red,Lina Meruane
Q101001359,The Last Poet and the Robots,Abraham Grace Merritt
Q101002564,The Microscopic Giants,Paul Ernst
Q101031658,The Jeffersons,William Winter
Q101031984,Life and Art of Joseph Jefferson,William Winter
Q101044104,The Second Sin,Thomas Szasz
Q101048747,FC Stjärnan,Arne Norlin
Q101048749,FC Stjärnan och tjejcupen,Arne Norlin
Q101050336,The History of Bukhara,Narshakhi
Q101064465,BK Framåt,Max Lundgren
Q101065264,Fotboll på lördag,Erik Bengtson
Q101072251,Queen's Shadow,E. K. Johnston
Q101073551,Felsteg,Maria Adolfsson
Q101073552,Stormvarning,Maria Adolfsson
Q101077177,The Foreigner,Ralph Connor
Q101083788,Famous Prima Donnas,Lewis Clinton Strang
Q101096366,In Defense of Leon Trotsky,David North
Q101096744,"Doubt, Atheism, and the Nineteenth-Century Russian Intelligentsia",Victoria Frede
Q101104183,"Polish, Hybrid, and Otherwise: Exilic Discourse in Joseph Conrad and Witold Gombrowicz",George Z. Gasyna
Q101105997,"Little Soldiers: How Soviet Children Went to War, 1941-1945",Olga Kucherenko
Q101107815,Fusées,Charles Baudelaire
Q101110336,Remembering Katyn,Maria Mälksoo
Q101110336,Remembering Katyn,Alexander Etkind
Q101110336,Remembering Katyn,Julie Fedor
Q101111733,The Israeli Intelligence Community: An Insider's View,Ephraim Lapid
Q101113345,Warleggan,Winston Graham
Q101114192,"Taboo Pushkin: Topics, Texts, Interpretations",Alyssa Dinega Gillespie
Q101124399,The Poetics of Impudence and Intimacy in the Age of Pushkin,Joseph Peschio
Q101130970,"The Kosova Liberation Army: Underground War to Balkan Insurgency, 1948–2001",James Pettifer
Q101134967,Politicized Justice in Emerging Democracies: A Study of Courts in Russia and Ukraine,Maria Popova
Q101153362,The Children's Robinson Crusoe,Eliza Ware Farrar
Q101164638,Faces of Displacement: The Writings of Volodymyr Vynnychenko,Mykola Soroka
Q101183379,Edmonde,Dominique de Saint-Pern
Q101190074,Warped Mourning Stories of the Undead in the Land of the Unburied,Alexander Etkind
Q101195214,Desertion,Clifford D. Simak
Q101197073,So Good They Can't Ignore You,Cal Newport
Q101198120,From the Womb to the Body Politic: Raising the Nation in Enlightenment Russia,Anna Kuxhausen
Q101199275,The Burning Ruhr,Karl Grünberg
Q101203153,Storm over the Ruhr,Hans Marchwitza
Q101208471,"The Great Game, 1856–1907: Russo-British Relations in Central and East Asia",Evgenij Jurʹevič Sergeev
Q101208754,The Cinema of Sergei Parajanov,James Steffen
Q101209736,Tangled Loyalties. The Life and Times of Ilya Ehrenburg,Joshua Rubenstein
Q101209747,"Cultural Politics in Greater Romania: Regionalism, Nation Building and Ethnic Struggle, 1918–1930",Irina Livezeanu
Q101210604,"Bakhtin and his others: (Inter)subjectivity, chronotope, dialogism",Liisa Steinby
Q101241686,Still Me,Jojo Moyes
Q101244429,The Martian,Ray Bradbury
Q101244550,Goddess and Polis: The Panathenaic Festival in Ancient Athens,Jenifer Neils
Q101244698,Baby H. P.,Juan José Arreola
Q101246279,Robinson Crusoe for Young Readers,Louise A. Chappell
Q101246969,America at the Ballot Box: Elections and Political History,Julian E. Zelizer
Q101247216,Muslims and Jews in France: History of a Conflict,Maud Mandel
Q101248072,Saharan Jews and the Fate of French Algeria,Sarah Abrevaya Stein
Q101248646,Chinese Migrants and Africa’s Development. New Imperialists or Agents of Change?,May Tan-Mullins
Q101248781,The French Intifada: The Long War Between France and its Arabs,Andrew Hussey
Q101252199,Trouble in the Tribe: The American Jewish Conflict Over Israel,Dov Waxman
Q101252215,The Greatest Trick The Devil Ever Pulled,anonymous
Q101252405,Hymn to Virtue,Aristotle
Q101252588,The Muslim Question and Russian Imperial Governance,Elena I. Campbell
Q101252615,Stalin: New Biography of a Dictator,Oleg Khlevniuk
Q101252617,Jak przejąć kontrolę nad światem 2,Dorota Masłowska
Q101287413,The Godmother,Hannelore Cayre
Q101295338,Richesse oblige,Hannelore Cayre
Q101351908,Leucothoe (poem),Giovanni Pascoli
Q101408528,Ballot Battles: The History of Disputed Elections in the United States,Edward B. Foley
Q101408876,The President of Vice: The Autobiography of Joe Biden,The Onion
Q101411149,Governance and Information Technology,David Lazer
Q101411149,Governance and Information Technology,Viktor Mayer-Schönberger
Q101413700,El santo prepucio,José Ignacio Valenzuela
Q101413700,El santo prepucio,Julián Quintanilla
Q101418745,Political Freud: A History,Eli Zaretsky
Q101419383,"Murdered Father, Dead Father: Revisiting the Oedipus Complex",Rosine Jozef Perelberg
Q101419420,Cold War Freud,Dagmar Herzog
Q101421069,Margarita,Anni Kytömäki
Q101421705,"Going Viral: Zombies, Viruses, and the End of the World",Dahlia Schweitzer
Q101421919,Transcendent Kingdom,Yaa Gyasi
Q101423411,"The Contemporary Russian Cinema Reader, 2005–2016",Rimgaila Salys
Q101423516,The Birth and Death of Literary Theory: Regimes of Relevance in Russia and Beyond,Galin Tikhanov
Q101428335,Let Our Fame Be Great: Journeys Among the Defiant People of the Caucasus,Oliver Bullough
Q101435230,Jewish Białystok and Its Diaspora,Rebecca Kobrin
Q101435410,Russian Rule in Samarkand 1868–1910: A Comparison with British India,Alexander S. Morrison
Q101435479,Historical Dictionary of the Russian Federation,Vlad Strukov
Q101435479,Historical Dictionary of the Russian Federation,Robert A. Saunders
Q101436211,Silent Conflict: A Hidden History of Early Soviet‐Western Relations,Michael Jabara Carley
Q101436358,The Nazi Genocide of the Roma: Reassessment and Commemoration,Anton Weiss-Wendt
Q101436374,A Spy in the Archives: A Memoir of Cold War Russia,Sheila Fitzpatrick
Q101437321,The Caucasus: An Introduction,Thomas de Waal
Q101438762,The Last Empire: The Final Days of the Soviet Union,Serhii Plokhy
Q101440475,Panic at the Pump: The Energy Crisis and the Transformation of American Politics in the 1970s,Meg Jacobs
Q101442864,The Firebird: The Elusive Fate of Russian Democracy,Andrey Kozyrev
Q101443857,Ukraine and Russia: From Civilized Divorce to Uncivil War,Paul D'Anieri
Q101444304,Understanding Russia: The Challenges of Transformation,Jean Radvanyi
Q101444304,Understanding Russia: The Challenges of Transformation,Marlène Laruelle
Q101488311,Pictures from English Literature,Sara A. Hamlin
Q101499665,"Tales of Imperial Russia: The Life and Times of Sergei Witte, 1849–1915",Francis W. Wcislo
Q101536023,Detecting Women 2: Reader’s Guide and Checklist for Mystery Series Written by Women,Willetta L. Heising
Q101539998,Petersburg Fin de Siècle,Mark D. Steinberg
Q101540527,Sleeping on Jupiter,Anuradha Roy
